Series_Name,Number_of_episodes,Number_of_seasons,Genre,Year_released,End_year,Avg_runtime,Rating,Number_of_raters,Number_of_reviews,Number_of_critics_review,Keywords,pos_neg,joy_sad
The Mandalorian,17,3,Action,2019,NA,40,8.7,199588,1953,57,advertising chain smoking 1960s new york drinking cheating husband career false identity housewife closeted homosexual father daughter relationship husband wife relationship dysfunctional family racism adultery cigarette smoking heavy drinking sexism secretary new york city workplace businessman corporate intrigue family problems womanizer happy go lucky urban americana unhappy marriage romantic relationship nostalgia gender in title male protagonist executive advertising agency unfaithfulness sex ruthlessness child cheating redhead career woman homosexual little boy little girl boy remarriage mistress unplanned pregnancy pregnancy office co worker divorce mother daughter relationship mother son relationship employer employee relationship father son relationship family relationships extramarital affair premarital sex advertising executive elegance office politics protege anti semitism feminism copywriter chief financial officer race relations office manager blackmail chain smoker infidelity ambition marriage girl gay homophobia obsessive compulsive disorder,Negative,Joy
Doctor Who,190,12,Adventure,2005,NA,45,8.6,196472,798,213,gay relationship alcoholic father poor family brother sister relationship gay brother female full frontal nudity brother brother relationship gay teenager dysfunctional family alcoholic female nudity family relationships large family gay mental illness working class family male nudity bar homosexual booze american remake dishonesty irresponsible father teenage sex chicago illinois based on british tv series nudity gay character boyfriend girlfriend relationship absent mother domestic violence sex talk interracial couple remake cheating wife degeneracy gay marriage vito russo test passed teenage rebellion homeless liver transplant drug withdrawal interracial relationship underage drinking extended family police older sister alcohol addiction drug addiction poverty drug abuse drug use sibling rivalry half sibling american family drunken father money scheme raised by one's sibling melodrama drugs infidelity female frontal nudity cheating girlfriend sex scene male full frontal nudity kinky sex city of love interracial sex homophobia,Negative,Joy
Shameless,127,11,Comedy,2011,NA,46,8.6,195790,427,49,time travel time machine alien space travel companion time lord police box telephone box alien friendship outer space extraterrestrial hero last of one's kind dark past human alien telephone booth cult tv self sacrifice space hero eccentricity multiple actors for one character man with no name british dying repeatedly famous opening theme reincarnation dark hero scientist sacrifice monster experiment hero scientist hero robot robot as menace unlikely hero telephone gadget surrealism action heroine fish out of water anti hero sequel chaste character friendship platonic relationship shared universe character name as series title psychotronic series supernatural power doctor who character planet good versus evil alien race alien monster doctor british science fiction android sonic screwdriver alien robot bravery courage science heroism rescue battle time traveler spacecraft two word series title reboot of series,Positive,Joy
The X-Files,217,11,Crime,1993,2018,45,8.6,195189,410,163,alien conspiracy paranormal phenomenon trust no one paranormal investigator romantic tension paranormal investigation fbi alien conspiracy unidentified flying object paranormal activity cult male character alien abduction government coverup cult female character x files supernatural power cult federal agent federal bureau of investigation basement office alien contact sexual tension 1990s 20th century cancer buddy cop coverup cult favorite federal bureau of investigation agent 2010s die hard scenario 20th television cassandra complex investigation suspense paranormal expert fictional government agency female agent famous opening theme partner implant extrasensory perception mother daughter relationship 2000s 21st century father son relationship mother son relationship father daughter relationship,Negative,Neutral
It's Always Sunny in Philadelphia,154,15,Comedy,2005,NA,22,8.8,186255,317,76,cringe comedy crude humor black comedy south philadelphia philadelphia irish pub pub satire bartender alcohol self obsession friends who hate each other friendship between men bar sexual humor scatological humor shock humor gay innuendo bromance waitress best friend apartment alcoholic aspiring actress stupidity goofball roommate loser divorced parents beer working class childhood friend vanity topical issues arrogance male male relationship brother sister relationship irish american 2000s 2010s pennsylvania drinking establishment egocentrism slapstick comedy parody sex talk employer employee relationship crazy humor male pride jackass father son relationship father daughter relationship family relationships slacker drunkenness philadelphia pennsylvania,Negative,Joy
The Punisher,26,2,Action,2017,2019,53,8.5,177383,743,86,frank castle character marvel comics based on comic book the punisher character military veteran new york city revenge vigilante marvel cinematic universe shared universe netflix original anti hero government corruption conspiracy government cover up cia drug smuggling complicity central intelligence agency cia agent afghanistan war on terror government conspiracy drug trafficking nsa corruption homeland security alpha male the punisher netflix ptsd tv show hacker cover up cia drug trafficking torture neo noir superhero male protagonist spin off blood violence,Negative,Joy
Twin Peaks,30,2,Crime,1990,1991,47,8.8,170721,255,129,haunted house ghost family relationship brother sister relationship sister sister relationship lesbian male female twins addiction funeral old dark house vito russo test passed troubled relationship exploitation psychotronic series supernatural power black man white woman marriage web series category netflix original tv mini series lesbian sex jump scare depression suicide heroin heroin addiction wedding long take lesbian character in a non lesbian themed movie,Negative,Sad
Boardwalk Empire,57,5,Crime,2010,2014,55,8.5,169381,206,126,cult tv mysterious death murder sexuality small town sheriff femme fatale double life doppelganger surrealism quirky interdimensional travel another dimension deception fbi secret evil spirit homecoming queen paranormal phenomenon loss of loved one rape alter ego mysterious woman mysterious villain mysterious past mysterious man mysterious forest infidelity husband wife relationship friendship forest father son relationship father daughter relationship dysfunctional family double identity deputy sheriff boyfriend girlfriend relationship teenager murder investigation investigation federal agent family crisis serial killer pacific northwest small town owl cherry pie red curtain hallucination amnesia enigma coffee donut law enforcement death of friend magical realism quirky character ensemble cast 1990s year 1989 western united states fictional town federal bureau of investigation noirish murder of a woman duality washington state mise en abyme eccentric cop eccentric fbi agent sadistic killer tape recorder prophetic dream the other side lodge father daughter incest photograph fire diner taking control of someone's body dance high school friend cousin cousin relationship violence temptress jealous lover jealous husband dual personality brunette blonde unrequited love sheriff mystery woman marital abuse look alike hotel high school extramarital affair dysfunctional marriage disguise diary death of girlfriend death of daughter dark forest betrayal eccentric deadpan hidden character log lady one armed man amputee folklore kidnapping mynah bird police chess traffic light coma detective chess piece possession adultery supernatural power cherry parapsychology demonic possession psychotronic series 1980s fictional city soul ghost dimension gently giant portal father murders daughter mistaken identity irony multiple personality deja vu split personality weasel demonic murderer icelandic meals on wheels prostitution,Negative,Sad
The Haunting of Hill House,10,1,Drama,2018,NA,57,8.7,165184,2205,88,prohibition gangster murder atlantic city new jersey 1920s politician sheriff irish immigrant federal agent alcohol crime boss period drama treasurer boardwalk irish american disfigured face new york city chicago illinois red carnation husband wife relationship brother brother relationship world war one veteran corruption based on book fedora homburg hat,Negative,Sad
Planet Earth,11,1,Documentary,2006,NA,49,9.4,163867,89,9,animal life earth tv mini series nature science biology wildlife photography plant zoology botany landscape wilderness wildlife narrator biome prey remote location ecology predator aerial camera shot nature documentary animal behavior survival,Neutral,Sad
Downton Abbey,52,6,Drama,2010,2015,58,8.7,158771,227,77,servant aristocracy period drama vito russo test passed 1910s yorkshire england family story butler employer employee relationship earl sibling rivalry father daughter relationship mother daughter relationship husband wife relationship class differences chambermaid ensemble cast domestic servant housekeeper upstairs downstairs maid valet wit gay character blackmail heir wounded death of husband death of wife looking for husband wedding funeral lord estate boer war veteran countryside fictional town reform smoking homosexual sister sister relationship feminist chauffeur walking stick cane american kitchen snobbery cook manor aristocrat high society class system country house country estate england,Negative,Sad
Rome,22,2,Action,2005,2007,52,8.7,152020,257,29,giant man eating monster based on manga anime titan eating human flesh dystopia strong female sword mysterious giant humanoid kaiju friendship army apocalypse lesbian love looking at the ocean sea blade destroying a wall blonde girl horse battle tactic training special ability healing ability enemy territory scarf torture sudden attack meat leadership potato stealing food basement key evacuation to the last man girl wears eyeglasses shounen wall eaten alive soldier attack siege fight to the death panic transformation famine regeneration tragedy gore death of mother title spoken by character,Negative,Sad
Battlestar Galactica,74,4,Action,2004,2009,44,8.7,150463,763,104,male nudity italy uncircumcised penis historical fiction bad mother intrigue rise to power power struggle political rival political intrigue political corruption political conspiracy female nudity homoeroticism male frontal nudity large penis big penis extra long penis penis self destructiveness civil war soldier roman salute abuse of power older man younger woman relationship mercilessness cutting controversy place name in title one word title city name in title lie jumping family relationships eroticism drawing blood love greed epic jealousy incest senate seduction rise and fall power political unrest passion murder manipulation government corruption dictator deliberate cruelty decadence corruption class differences assassination plot treason sword fight suicide slave poetry glory friendship egypt brother sister relationship brothel alexandria egypt marriage 1st century b.c. slavery roman empire rivalry politics legion hand to hand combat graffiti emperor courtesan betrayal ancient rome adultery title spoken by character,Negative,Sad
Attack on Titan,69,4,Animation,2013,NA,24,8.8,149863,575,46,human in outer space nuclear weapon totalitarianism prophecy space opera extinction quest mole human android relationship femme fatale made for cable tv shared universe murderess man wears a uniform woman wears a uniform starfighter terminal illness cylon civilian fleet biosphere starship name in series title ancient astronaut war against machines humanoid fictional war apocalypse murder of wife cult tv space carrier alcohol real world metaphor meaning of life destiny military fleet inhabitable planet ancient ruins unfaithfulness loss of child hybrid reincarnation kidnapping human robot hybrid spaceship name in title polytheism menage a trois outer space spacecraft space western rescue planet good versus evil faster than light explosion dogfight dead son dead brother battle space battle robot as menace moral choice on the run loss of son loss of fiance loss of brother cliffhanger violence vengeance theology terrorist terrorism survivor survival space marine soldier secret agent resistance religious differences radiation pursuit prisoner of war post apocalypse passion paranoia mysticism morality moral ambiguity mechanic love lie karma interrogation insanity heroine genocide fighting female prisoner female assassin father figure evil robot escape end of the world end of the world scenario deception death creator creation relationship chase betrayal assassin armageddon ambiguity action hero action heroine diaspora villainess spaceship spaceship setting space travel robot remake military life interracial relationship hallucination fighter pilot father son relationship artificial intelligence android alcoholic aircraft carrier guilt refugee strong female character atheist uxoricide breast cancer shipper nazi occupation female protagonist torture religion nuclear war nuclear holocaust cancer female soldier female president female pilot,Negative,Sad
Big Little Lies,14,2,Crime,2017,2019,60,8.5,147538,457,59,domestic violence mother daughter relationship abuse murder husband wife relationship infidelity single mother female friendship secret beach town parenting death bullying female nudity based on novel female protagonist monterey california blended family mother mother son relationship ex husband murder cover up violence against women yoga pants black stocking patterned tight ripped tight nudity,Negative,Sad
Archer,119,11,Animation,2009,NA,22,8.6,134786,167,56,adult animation spy espionage domineering mother retro style secret agent fictional spy agency promiscuous mother mad scientist pistol krav maga martial arts parody sexual ambiguity machine gun mother son relationship spy spoof sarcasm womanizer co workers who hate each other male objectification character name as series title surname as series title manchild campy male protagonist dating old flame gay james bond spoof sexually aggressive woman butler oedipus complex overbearing brother freudian slip condominium nepotism,Negative,Sad
The IT Crowd,25,5,Comedy,2006,2013,25,8.5,130592,156,20,it support large corporation nerd female boss office friends it support worker corporate culture introvert basement office sitcom british comedy workplace geek computer technician information technology basement 21st century yuppie on the spectrum nerd culture tech expert sexist gay joke best friends playboy love life misunderstanding crazy boss black nerd irishman redhead female grifter nice guy boss employee relationship embarassment sex life cult tv 2000s 2010s farce surreal office genius london england computer work shy,Positive,Joy
Freaks and Geeks,18,1,Comedy,1999,2000,44,8.8,126763,207,37,addiction chess girl power period tv mini series tranquilizer orphanage speed chess nylon feet simultaneous chess white socks russia chess review magazine simultaneous speed chess single round robin tournament,Neutral,Joy
Spartacus: Gods of the Arena,6,1,Action,2011,NA,55,8.5,124725,66,22,queen female protagonist royal family netflix production british monarchy 1950s netflix original queen elizabeth ii winston churchill british history queen of england margaret thatcher irish republican army westminster abbey corgis british conservative party windsor castle highgrove house organ music prime minister prince consort british government buckingham palace london england,Neutral,Joy
Silicon Valley,53,6,Comedy,2014,2019,28,8.5,123248,209,36,20th century year 1980 year 1981 reference to william mckinley chippewa michigan chippewa michigan fictional town fictional location suburb fictional suburb detroit freak freaks geeks mathematics prodigy nerdy girl mathlete mathematics competition mathematics rebellious teenager slacker smart girl intelligent girl rock rock 'n' roll new wave nu wave weed pot marijuana jock cheerleader burnout early 1980s boy wears eyeglasses dreamworks geek teenager high school 1980s socially awkward rhyme in title girl boy classmate friendship friend teacher student relationship high school girl high school boy high school student teenage girl teenage boy cult tv troubled teen punk nerd mother son relationship mother daughter relationship teacher father son relationship father daughter relationship brother sister relationship band,Negative,Joy
The Crown,60,6,Drama,2016,NA,58,8.7,120511,424,68,arena gladiator warrior breasts sex slave sword fighting beating fight betrayal death violence blood splatter extramarital affair adultery infidelity friendship between men friendship male frontal nudity slavery slave group sex male nudity homosexuality homoeroticism gore training ancient rome shield whip blood roman orgy slave girl sword fight sword hand to hand combat sex female nudity female frontal nudity male full frontal nudity epic voyeur love triangle male objectification spear belief in gods tv mini series historical fiction musclemen female full frontal nudity kiss interracial marriage interracial relationship friend belief in the afterlife kissing while having sex greco roman wrestling rape roman empire cheating wife threesome female objectification 1st century b.c. menage a trois character name in series title spartacus character loincloth,Negative,Joy
Six Feet Under,63,5,Comedy,2001,2005,55,8.7,118806,314,48,computer startup satanist business rivalry computer nerd san francisco california place name in title california palo alto california bay area silicon valley server employer employee relationship,Neutral,Neutral
The Night Of,9,1,Crime,2016,NA,58,8.5,115125,215,55,funeral home daydream talking to the dead husband wife relationship boyfriend girlfriend relationship mortuary cult favorite self destructiveness 2000s undertaker vito russo test passed queer gay relationship gay christian gay character funeral prodigal son death dysfunctional family homosexual gay african american interracial relationship widow corpse homosexuality gay couple lie self discovery returning character killed off photographer loss of husband friendship embalming dark secret black stereotype male pride employer employee relationship dark comedy hearse rebellious daughter dysfunctional relationship drug abuse african american boyfriend boyfriend relationship melodrama los angeles california interracial romance dating mother son relationship mother daughter relationship loss of father funeral director brother sister relationship brother brother relationship black comedy homosexual love family business number in title necrophobia,Negative,Sad
Fullmetal Alchemist: Brotherhood,69,1,Animation,2009,2012,24,9.1,111483,215,15,murder investigation eczema muslim rikers island new york city based on british tv series remake murder new york city police station jail district attorney police detective murder trial tv mini series attorney pakistani year 2014,Negative,Sad
Dragon Ball Z,277,16,Animation,1996,2003,24,8.7,110438,165,35,anime alchemy armor loss of limb anti villain genocide brother brother relationship suit of armor dead mother alchemist automail multiple english dubs violence teen hero chimaira social commentary artificial human fighting remake artificial limb sin child prodigy chimera reboot based on manga acronym in title shounen,Negative,Neutral
One Punch Man,24,2,Animation,2015,NA,24,8.8,108576,243,21,anime actor voicing multiple characters antihero cult favorite friend elderly man elderly woman saving the world teenage boy superhuman strength cult tv psychotronic series battle fate of the universe satire fight dragon ball anime adaptation shounen spiked hair hero with spikey hair martial art headband afterlife chinese dragon asian dragon blue haired woman blue haired girl warrior dragon epic hope training multiple english dubs song during opening credits song during end credits blood compassion death explosion father son relationship forgiveness friendship genocide honor idealism innocence kindness love mass murder mercy moral ambiguity mother son relationship poetic justice redemption reincarnation responsibility sacrifice sequel superhuman speed tournament tragedy transformation wish wuxia fiction super villain violence cartoon violence christ allegory martial artist martial arts master kung fu fighting kung fu classic kung fu master chop socky supernatural power based on manga villain turns good survival famous opening theme kung fu warrior race death of hero giant ape good versus evil superhero self duplication alien villain ki life force karate android hero tyrant full moon martial arts hyper regeneration,Positive,Joy
Cosmos: A Spacetime Odyssey,13,1,Documentary,2014,NA,43,9.3,108471,170,12,anime superhero parody satire shounen depression based on manga fitness routine mosquito cyborg bald over powered male protagonist,Negative,Sad
Top Gear,300,29,Adventure,2002,NA,60,8.7,107264,133,27,cosmology astronomy universe science albert einstein character tv mini series outer space spaceship biology reenactment earth cosmos,Neutral,Neutral
BoJack Horseman,77,6,Animation,2014,2020,25,8.7,105502,412,64,car british road trip challenge test drive travel series review argument joke england caravan driver controversy test driver narration stunt driving united kingdom interview celebrity competition race track racing bbc sports car automobile helmet motor 2000s car accident car crash nature car chase voice over narration politics remake public transit reboot traffic formula one two word title british accent guest star non fiction,Negative,Neutral
The Newsroom,25,3,Drama,2012,2014,55,8.6,102601,308,56,sadness 21st century anthropomorphism black comedy talking animal horse adult animation adult humor anthropomorphic animal surrealism tragicomedy animal that acts human animal protagonist animal character name as series title cat male protagonist animal in title satire dog persian cat netflix original mixed caps in title addiction human condition 2d animation cartoon horse cartoon cat cartoon dog labrador retriever dark comedy sitcom los angeles california hollywood california alcoholic depression two word title human california drugs 2010s 2020s ex boyfriend ex girlfriend relationship husband wife relationship sitcom star slacker alternate world mansion sexism psychological trauma racism sexuality self destructive behavior ghost writer gender in title,Negative,Sad
Mr. Bean,15,1,Comedy,1990,1995,25,8.5,99753,69,14,newsroom ethics television producer news reporting television news tv news journalism newscaster tv broadcast television news anchor talent tv studio policy public affairs current events news media fourth estate social commentary politics new york city fictional news show media colleagues journalist two word title,Neutral,Neutral
Curb Your Enthusiasm,101,11,Comedy,2000,NA,28,8.7,99739,243,33,male objectification melodrama family relationships family drama flashback triplets pregnancy adoption foster child miscarriage death of husband pittsburgh pennsylvania father son relationship mother son relationship brother brother relationship husband wife relationship dysfunctional marriage parenthood alcoholism house fire sibling self esteem depression overweight weight loss hospital bisexual estrangement childhood childhood memory high school teenage angst break up surgery love interest rehabilitation social worker vietnam war veteran lgbt woke 20th television,Negative,Neutral
Star Trek: The Next Generation,176,7,Action,1987,1994,44,8.6,98133,270,147,situation comedy physical comedy sitcom sketch comedy comedy of errors 1990s character name as series title farce british comedy accident prone slapstick comedy cult classic car ingenuity social awkwardness man child england contraction in title two word title period in title eccentricity insecurity problem solving cult tv very little dialogue immaturity egoism creativity london england comedy of manners confusion,Negative,Neutral
This Is Us,75,6,Comedy,2016,NA,45,8.7,98117,463,40,actor playing himself misperception misconception misunderstanding husband wife relationship mishap celebrity unlucky bad luck misfortune discussion improvisation actor shares first name with character mockumentary man wears eyeglasses male protagonist black comedy misadventure talking to the camera looking at the camera sexual humor imperative in title mock documentary cult tv handheld camera sitcom,Negative,Sad
The Office,14,3,Comedy,2001,2003,30,8.5,96442,213,38,famous opening theme cult tv star trek space exploration holodeck mother son relationship captain starship human in outer space starship crew starship captain wanting to be human federation alien species outer space warp speed star trek spinoff android space travel exploration space opera hologram u.s.s. enterprise flagship teenage boy teenager klingon female doctor teenage son male protagonist humanoid alien artificial life form talking computer federation flagship security chief chief of security tactical officer chief engineer engineering officer sentient android operations officer earthling terran empath earthman shuttlecraft male commanding officer alien crew member widow male humanoid alien male android female chief medical officer ship's counsellor shared universe disability jean luc picard character blindness captain's log chief medical officer alien creature federation captain female chief of security human alien hybrid male alien male captain male commander male lieutenant commander male klingon ship's log ship's surgeon starfleet commander starship's log starship counsellor starship lieutenant starship lieutenant commander starfleet captain starfleet counsellor starfleet lieutenant starfleet lieutenant commander starship commander admiral alien life form blind man female counsellor hybrid klingon man male admiral the future male lieutenant ship's captain space alien space creature starfleet admiral william t. riker character female security chief female ship's surgeon female security officer crew female empath female alien captain's chair ensign engineering female starship doctor male ensign male engineer pointy ears starfleet ensign starship chief engineer starship tactical officer deanna troi character worf character geordi la forge character automatic door swivel chair half human half alien starship bridge human being human male human female beverly crusher character data character wesley crusher character alien entity female humanoid alien first officer starship first officer starship engineering section human betazoid woman dematerialization materialization male first officer male security officer voice over narration device handheld device communicator communicator badge gifted teenage boy female human alien hybrid starship interior solar system sentence female ensign captain's ready room female starfleet ensign betazoid combadge main viewer klingon starfleet officer klingon security chief viewscreen starship viewscreen padd male human alien hybrid computer crew man crew woman handheld phaser handheld scanner ready room surgeon weapon starship's helm female computer voice frenchman ten forward corridor helm officer federation shuttlecraft bearded man alien being alien culture captain's cabin display screen female lieutenant commander handheld weapon scanner shuttle space station starship cabin telepathy type 2 phaser tricorder alien lieutenant cybernetic visor captain's quarters orbiting starship female lieutenant female commander narrated by character female tactical officer alien society conn officer desktop monitor monitor computer terminal control console console command console computer display central command betazoid woman computer screen intelligent alien life control panel desk starship helmsman weapons fire biobed alien world alien device medical scanner medical tricorder medical device advanced technology alien starship alien starship captain personal quarters holographic simulation sickbay hypospray audio communication audiovisual communication away team baldric sash transporter chief transporter room conference table conference lounge conference room long haired female turbolift alien planet sidearm alien spacecraft planet viewed from outer space planet handheld communicator alien spaceship alien weapon alien doctor alien medical doctor sequel famous line visor beard ship captain based on tv series robot alien race battle space battle bald man science officer starfleet futuristic earth viewed from space psychotronic series electronic music score boy genius scientist future female bartender alien civilization technology paramount paramount domestic television syndicated program 24th century female physician starship doctor federation starship physician medical doctor enterprise the starship galaxy class starship female medical doctor u.s.s. enterprise ncc 1701 d warp core sensors positronic brain spaceship doctor counsellor warp engine security officer phaser lieutenant investigation engineer commanding officer lieutenant commander commander navigation heroic captain teleportation alien alien technology spacecraft alien contact borg bar bartender,Positive,Joy
Planet Earth II,6,1,Documentary,2016,NA,50,9.5,92720,120,6,cringe comedy mockumentary sitcom british humor nylon leg nylon feet office boss 2000s employee satire downsizing employment fake documentary romantic tension employer employee relationship job office romance awkward silence british comedy cult tv workplace england title spoken by character,Negative,Neutral
Deadwood,36,3,Crime,2004,2006,55,8.6,92718,308,67,nature documentary mountain desert island nature animal earth wilderness high definition tv mini series,Negative,Sad
"Love, Death & Robots",19,2,Animation,2019,NA,15,8.5,90791,710,42,saloon profanity violence outlaw greed mining town 1870s sheriff gold mine south dakota prostitution power struggle manipulation frontier town brothel gambling female nudity cult favorite rebels villain played by lead actor blood good versus evil vigilante tough guy reflection prostitute gunfighter frontier justice small town opium male nudity male full frontal nudity lesbian lesbian kiss,Positive,Sad
Fleabag,12,2,Comedy,2016,2019,27,8.7,88396,473,40,robot anthology series love death three word series title lesbian monster space spaceship cat apocalypse murderer murder farm cow vampire yogurt cyberpunk based on short story mine tunnel blood drinking president shape shifting garbage filth old man dog nude car skyscraper lighter military taliban afghanistan racism desert sacrifice oxygen dream shark black woman black man painting memory blue color truck semi freezer russia horse bombard plane father son relationship psychotronic series reference to heavy metal the film adolf hitler character web series death in title urine theft,Negative,Sad
Oz,56,6,Crime,1997,2003,55,8.7,87307,181,29,promiscuity sister sister relationship female friendship stepmother stepdaughter relationship break up promiscuous woman female masturbation british comedy best friend sexting father daughter relationship boyfriend girlfriend relationship single woman female protagonist twenty something talking to the camera breaking the fourth wall by talking to the audience breaking the fourth wall anal sex sex scene guinea pig based on play one word series title character name as series title nickname as series title sexual humor dark comedy surprise birthday party birthday party london england british direct address ornament pet buck teeth,Negative,Joy
Leyla and Mecnun,104,3,Adventure,2011,2014,80,9.1,87171,58,3,male rape prison italian gay aryan brotherhood anal rape male nudity male frontal nudity undercover police officer vietnam war veteran 20th century emerald city male full frontal nudity pubic hair male pubic hair penis solitary confinement latino gambling christian aryan parole prison life violence 2000s 21st century 1990s gay rape masochism prison sex blanket party bricked in room priest plain clothes nun chaplain catholic priest voice over narration misfit flashback family relationships controversy homosexual rape female nudity cult tv triad russian religious fanatic race relations opus dei nazi murder mystery mob jew imprisonment hatred forbidden love egomaniac drug abuse abuse of power gay romance gay kiss gay couple muslim convert death male breast cancer death penalty wheelchair nun redemption professional oath poetry panopticon mafiosi forced decision extramarital affair dystopia divorce corrupt politician corrupt police class warfare catholicism bribery state violence prison torture homosexuality homophobia sadistic warden ku klux klan black panthers hate crime african american black militant unsubtitled foreign language christian horror nerd redneck prayer prayer group reference to jesus christ reference to god godfather god's love church christian history christening christ allegory christ's passion cafeteria angel fish out of water disturbed childhood white power killer vs killer parolee suicide attempt sociopath sexual assault martial arts juvenile delinquent black magic shooting protest insomnia torture threats and intimidation suicide protective custody protected witness prisoner transport prisoner exchange prison warden prison ministry prison matron prison library prison escape prison escape artist prison break penitentiary painter television broadcast sex sex addict intimidation defecation tattooing tattoo artist molester masturbation father son relationship blood vengeance sheriff serial killer reverse discrimination revenge rapist racial tension pyromaniac punk psychopath prisoner prison labor prison cell prison bus prison basketball neo nazism marine machismo jamaican irish catholic harassment group punishment gang gangster gang violence gang rape gang member gang culture forced confession electric chair colonel chinese american bullying arson italian american ex convict tattoo ensemble cast racial slur gay slur irish american satire racism drug smuggling forgiveness alcoholism death sentence poison brother brother relationship prison riot solitary drug dealing cell mate prison rape rape betrayal murder scheming murder prison guard life sentence psychiatrist pedophile homoeroticism degradation real life siblings as fictional siblings title spoken by character,Negative,Sad
Cowboy Bebop,26,1,Animation,1998,1999,24,8.9,86266,245,63,absurd comedy istanbul turkey love,Neutral,Joy
Batman: The Animated Series,85,4,Animation,1992,1995,23,9,84982,147,28,anime space western jazz future noir gun fu cigarette smoking purple hair handgun gun bullet profanity cowboy boot cult favorite drug falling from height rotten food jazz music child shocksploitation neo noir cult tv gypsy bounty hunter hacker corgi future tragedy chess space smuggler spaceship 2070s mechanical arm saxophone mysterious past remembering the past orphanage handcuffs caught shower gambler skimpy outfit stealing food stealing hallucination mushroom argument ambiguous ending hacking snow bar cheating death grudge betrayal tranquilizer scar sleeping faking own death nursing back to health premarital sex false eyeball leisure suit loss of loved one long lost love hand to hand combat good versus evil gangster violence sword fight kendo samurai sword quick draw fight gore blood terrorist group terrorist terrorism outlaw outlaw gang stylized violence murder cowboy hat semiautomatic pistol pump action shotgun pistol machine gun shotgun punched in the face kicked in the face duck and cover hiding under a table dream crying redemption choir lullaby million money death cowgirl cowboy zippo lighter flashback haunted by the past jeet kune do near death experience warrior nihilism dark past lost love poetic justice anti hero computer hacker katana gambling femme fatale ex cop honor fatalism police officer cyborg s word martial arts starship name in series title human in outer space breasts tragic hero comic character famous theme famous line running gag concealed nudity cowboys and outlaws female warrior love interest action heroine heroine tough girl tough guy action hero hero spoiled brat black comedy famous opening theme mischief reference to bruce lee male protagonist subjective camera parody surrealism cyberpunk surprise ending,Negative,Sad
Making a Murderer,20,2,Documentary,2015,NA,60,8.6,84974,432,22,new york city central park rape accusation 1980s tv mini series biased police prosecutorial bias prosecutor criminal trial media frenzy race relations institutional racism criminal justice police police investigation innocence guilt presumed guilt new york police department nypd police detective detective teenager teenage boy black teenager justice police bias false conviction police lying year 1989 reference to the central park five rape criminal defense wrongful conviction defense attorney boy black boy african american interest coercion wrongful imprisonment presumed guilty incarceration vulnerability justice system carceral system pain suffering central park new york central park new york city judicial system law enforcement netflix netflix original netflix original series injustice true crime african american false accusation wrongfully convicted racism coerced confession based on true story,Negative,Sad
When They See Us,4,1,Biography,2019,NA,74,8.9,84410,639,45,dc comics shared universe batman character dc animated universe based on comic book gotham city batmobile art deco pulp neo noir martial arts vigilante masked hero one man army femme fatale double life crime fighter superhero secret identity villain cult favorite supervillain cult tv psychotronic series 1990s summer gleeson character harvey bullock character animal in title new jersey gender in title 2d animation male protagonist millionaire fight combat pistol vigilantism chase explosion jujitsu judo violence tough guy one against many action hero hero one word title haunted by the past gothic revenge news report mansion insanity guilt good versus evil gadget gadget car fictional city butler dark hero evil clown mask character name in title zeppelin obsession keysi fighting method,Negative,Neutral
Justified,78,6,Action,2010,2015,44,8.6,84320,253,59,small town police corruption justice system archive footage judgmental bias false accusation injustice wrong man railroaded to prison sheriff sheriff's deputy wrongful conviction exoneration violation of rights court system manitowoc county wisconsin judicial bias police bias law enforcement civil rights violation innocence innocent man false imprisonment troubled youth classism exonoree prosecutorial bias police misconduct prosecutorial misconduct corrupt sheriff cover up netflix original suspect law trial salvage yard jury junked cars judge winter halloween court county jail bonfire jail release prison release judicial system disposing of a dead body dead body legal appeal homicide desecration unfolding story reporter murder victim parole criminal justice system police prison jail justice miscarriage of justice,Negative,Sad
Fawlty Towers,12,2,Comedy,1975,1979,30,8.7,83364,175,25,reference to the gunfight at the o.k. corral reference to the o.k. corral gang spaghetti western cowboy gunslinger neo noir cowboy cop male protagonist kentucky u.s. marshal brother brother relationship nickname name calling sleeve gun mafia pistol brothel bar crime family dumb criminal crime boss afghanistan veteran cousin cousin relationship father son relationship ex husband ex wife relationship neo western ex military family feud ex convict courthouse glock cowboy hat,Negative,Sad
Naruto: Shipp?en,502,1,Animation,2007,2017,24,8.6,77219,183,24,manic guest snob class prejudice british humour slapstick comedy spanish rude man ensemble cast british actor playing foreigner hotel hotel owner arrogance waiter hotel room employer employee relationship husband wife relationship complaint hotel guest kitchen meal reception desk fool slap hispanic british tv british comedy british cult tv sitcom farce disgruntled hotel manager paranoia embarrassment tourist chef written by star english torquay england south west england upper class britcom husband wife moustached man cockney 1970s maid marriage problems england culture clash service hotel reception neurotic tall man couple luggage mistaken identity realization title spoken by character rat german ethnic slur frenchwoman drunkenness dog colonel evil landowner psychiatrist car trouble,Negative,Sad
